Restaurant,Burrito Name,Menu Name,Type,Taco/Burrito,Date,Neighborhood,Address,Full Address,URL,Yelp,Google,Cost,Hunger,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Reviewer,Notes
Donato's Taco Shop,California ,California Burrito,California,Burrito,42387,Miramar,6780 Miramar Rd,"6780 Miramar Rd, Miramar CA",http://donatostacoshop.net/,3.5,4.2,6.25,3.5,4,4,4,2.5,3,3.5,4,4,5,4,Brent,Brent doesn't like fries in his burrito
Donato's Taco Shop,Al pastor ,Al pastor  Burrito,Carnitas / Pork,Burrito,42675,Miramar,6780 Miramar Rd,"6780 Miramar Rd, Miramar CA",http://donatostacoshop.net/,3.5,4.2,6.25,4,4,4.5,4.5,5,5,5,4.5,5,5,4.6,Luis,
Donato's Taco Shop,Carne Asada,Carne Asada Burrito,Carne Asada / Beef,Burrito,42675,Miramar,6780 Miramar Rd,"6780 Miramar Rd, Miramar CA",http://donatostacoshop.net/,3.5,4.2,6.5,5,4.5,5,5,5,5,4,4,5,5,4.7,Karl,
El Cuervo,California ,California Burrito,California,Burrito,42635,Hillcrest,110 Washington St,"110 Washington St, Hillcrest CA",https://www.yelp.com/biz/el-cuervo-taco-shop-san-diego,4,4.3,6.25,2,5,5,5,4,4,2,,5,5,5,Kalen,
El Cuervo,Pollo adobado,Pollo adobado Burrito,Chicken,Burrito,42635,Hillcrest,110 Washington St,"110 Washington St, Hillcrest CA",https://www.yelp.com/biz/el-cuervo-taco-shop-san-diego,4,4.3,6.5,2.5,3,,3.5,4,4,3,,4,1.5,3.5,Erin,
El Dorado Mexican Food,California,California Burrito,California,Burrito,42537,Temecula,29000 Old Town Front St,"29000 Old Town Front St, Temecula CA",https://www.yelp.com/biz/el-dorado-mexican-food-temecula,4.5,4,6.65,3.5,3.5,,3.5,3.5,4.5,3.5,3.5,4,4,4,Ricardo,
El Dorado Mexican Food,Super,Super Burrito,Specialty,Burrito,42537,Temecula,29000 Old Town Front St,"29000 Old Town Front St, Temecula CA",https://www.yelp.com/biz/el-dorado-mexican-food-temecula,4.5,4,5.95,3.5,2.5,2.5,3.5,4,3,4.5,4,4.5,4.5,3.8,Scott,"Cheese should be melted, potatoes are very good"
El Dorado Mexican Food,California,California Burrito,California,Burrito,42881,Temecula,29000 Old Town Front St,"29000 Old Town Front St, Temecula CA",https://www.yelp.com/biz/el-dorado-mexican-food-temecula,4.5,4,5.5,3,2,4,3,3,3,4,3.5,3.5,,3,Emily,
El Dorado Mexican Food,California,California Burrito,California,Burrito,42881,Temecula,29000 Old Town Front St,"29000 Old Town Front St, Temecula CA",https://www.yelp.com/biz/el-dorado-mexican-food-temecula,4.5,4,9,2,2,3.5,3,1.5,1,1,2.5,1.5,3.5,1.5,Scott,"The ends of the burrito were decent, but the middle was terrible without much meat"
El Indio,California,California Burrito,California,Burrito,42446,San Diego,3695 India St,"3695 India St, San Diego CA",http://elindiosandiego.com/,3.5,3.9,9,2,2.5,2.5,1.5,2.5,1,2,2.5,2,5,1.8,Emily,
El Nopalito ,Especial ,Especial  Burrito,Specialty,Burrito,42522,Encinitas,582 Santa Fe Dr,"582 Santa Fe Dr, Encinitas CA",https://www.yelp.com/biz/el-nopalito-encinitas,4,4,8,4,4.5,5,5,5,4.5,5,3,5,5,4.9,Sage,A wonderful eating experience. best California Burrito I've ever had by far. 
El Nopalito ,Ranchero steak,Ranchero steak Burrito,Carne Asada / Beef,Burrito,42522,Encinitas,582 Santa Fe Dr,"582 Santa Fe Dr, Encinitas CA",https://www.yelp.com/biz/el-nopalito-encinitas,4,4,6.89,3,3,2.5,3,2.5,2.5,2,3.5,3,4,3,Scott,
El Pollo Loco,Chicken avocado,Chicken avocado Burrito,Chicken,Burrito,42701,Oceanside,3500 College Blvd,"3500 College Blvd, Oceanside CA",https://www.yelp.com/biz/el-pollo-loco-oceanside-5,3.5,4.1,6.39,3,4,3,2.5,3.5,3,3,3.5,4,3.5,3.5,Emily,Pineapple is really good
El Portal Fresh Mexican Grill,Mahi,Mahi Burrito,Seafood,Burrito,42680,Clairemont,4101 Genesee Ave,"4101 Genesee Ave, Clairemont CA",https://www.yelp.com/biz/el-portal-fresh-mexican-grill-san-diego,4,4.4,6.75,3,4.5,4,3,4,1,3,4.5,3.5,4.5,3.5,Scott,Fries are good. Too little meat
El Portal Fresh Mexican Grill,Carnitas,Carnitas Burrito,Carnitas / Pork,Burrito,42680,Clairemont,4101 Genesee Ave,"4101 Genesee Ave, Clairemont CA",https://www.yelp.com/biz/el-portal-fresh-mexican-grill-san-diego,4,4.4,5.99,2,4,2,2.5,4,4,3,3.5,4,5,3.2,Emily,Free lime. Ingredients chopped finely
El Pueblo Mexican Food,California,California Burrito,California,Burrito,42592,Cardiff ,820 Birmingham Dr,"820 Birmingham Dr, Cardiff  CA",https://www.yelp.com/biz/el-pueblo-authentic-mexican-food-cardiff-by-the-sea,4,4.7,7.49,3.5,3.5,4,4,4,3.5,3,4,4.5,3,4.2,Scott,Less meat than usual
